         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0        357       7459       1815          0       3697       6548          0          0       6664        410          0          0          0          0
         0          0          0       4217     188696       4575          0       5917      24612          0          0     156143       9118          0          0          0          0
         0          0          0       4686       6330      35257          0      44601      78887          0          0      13113        134          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       4863       4212      37193          0      51934      68538          0          0       6207         76          0          0          0          0
         0          0          0       4831      11188      34579          0      59035     186269          0          0      10648         92          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       2182      73648       5811          0       4513      14818          0          0     109634       6611          0          0          0          0
         0          0          0        292      19852        336          0        535        312          0          0      22866       2547          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
