         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       6197       3153       1233          0       3297       4285         77          0          0       6419       1152          0          0         27          4          2        812        172          0         83         37
         0          0          0      12710     279978      14747          0        378       2522        911          0          0      32865      30690          0          0       2559        368          0       4159       9934          0       1434         23
         0          0          0       5855       3379      30219          0       9249      52224      24094          0          0        623        836          0          0        412        809        186      54481        251          0        378         12
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       5701       1158      38880          0      68350      39949       3230          0          0       4742        177          0          0        422       2623        703      10096         89          0        279        611
         0          0          0        744        235       2436          0         55     299763        847          0          0        561          0          0          0          0          3          0       1972         23          0          3          0
         0          0          0         60        105       1300          0          8       3287      18615          0          0        521          1          0          0          7         26          3      10943         40          0          4          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       8877      12514       2439          0      14262       1421        865          0          0     171015       1175          0          0        154        704        170       2219       1015          0        337         50
         0          0          0        748      38911        307          0         34          8        101          0          0       2753      13904          0          0       1139        332          5        684      14571          0        104      25612
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0        105         79       1761          0        160        533        114          0          0        547         21          0          0      28515       1223       2822        973        457          0      12459        161
         0          0          0         69         93       1491          0         64        461        235          0          0        920         26          0          0       4056      17791       4054       6739        223          0          3       1370
         0          0          0          5          2         80          0        265          1          0          0          0          1          1          0          0         74        497      29168        133          1          0         56          6
         0          0          0       7992       5575     139923          0       1339      11947      20766          0          0       7229        123          0          0        466       8082        150     338681       6019          0        157       2166
         0          0          0        877       3514        178          0         12         35        972          0          0        886        790          0          0       1373         47          0       2274      65088          0        168          1
         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         0          0          0       5921      52126       3190          0        829        654       1644          0          0      34813       5935          0          0       2956       2178        387      21721       2450          0      41700      21221
         0          0          0         95          9         13          0          0          0          0          0          0         70         76          0          0         12        946          5        444          0          0          0      69375
