0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,921,6686,1408,0,1713,8652,0,0,7350,220,0,0,0,0
0,0,0,921,2.523e+05,4515,0,3485,20215,0,0,1.0537e+05,6471,0,0,0,0
0,0,0,1916,6485,30143,0,37527,92771,0,0,13834,332,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4378,3147,34493,0,47735,77445,0,0,5776,49,0,0,0,0
0,0,0,2345,3997,23718,0,36455,2.3376e+05,0,0,6362,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2450,74082,6518,0,5167,14671,0,0,1.0824e+05,6093,0,0,0,0
0,0,0,31,30632,172,0,223,52,0,0,12167,3463,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
